text,label,topic,concord
"Photosynthesis in plants occurs because chloroplasts within their cells capture sunlight and convert it into energy, producing glucose and releasing oxygen as a byproduct.",mechanistic,Biology,3
"According to a recent extensive marine biology survey, the sudden and widespread onset of coral bleaching events observed across Pacific coral reefs can be directly attributed to persistent elevated sea temperatures, exacerbated by global warming trends.",causation,Marine Biology,4
"Drawing upon evolutionary biology studies, the uniquely specialized structure of the owl's wing feathers, including serrated leading edges, has evolved over millennia to enable silent flight, providing these nocturnal birds with a distinct advantage in stealthily hunting their prey.",functional,Biology,5
Prolonged high blood pressure can lead to kidney damage because the force of the blood against the delicate vessels of the kidneys can impair their filtering capacity over time.,mechanistic,Biomedicine,3
"Smoking damages the cilia in the respiratory tract, leading to decreased clearance of mucus and pathogens, thereby increasing the risk of chronic bronchitis and other respiratory diseases. ",mechanistic,Medicine,5
"Chronic exposure to UV radiation from the sun can break down the skin's connective tissue, collagen, and elastin fibers, causing the skin to become saggy, wrinkled, and less elastic, a process known as photoaging.",mechanistic,Medicine,4
"Excessive alcohol intake over time can cause liver inflammation and scarring, eventually leading to cirrhosis, where the liver's ability to function is compromised.",mechanistic,Biomedicine,3
"Frogs undergo metamorphosis, transitioning from aquatic tadpoles with gills to terrestrial adults with lungs, allowing them to inhabit both water and land environments during different stages of their life.",functional,Biology,4
"The binding of a ligand to a cell receptor activates an intracellular signaling cascade, leading to a specific cellular response.",mechanistic,Biomedicine,4
"While individual neurons process electrical and chemical signals, neural circuits coordinate complex behaviors like walking or speaking",contrastive,Biomedicine,4
Chronic smoking increases the risk of developing lung cancer due to the continuous exposure of lung tissues to carcinogens,causation,Medicine,5
"HIV infects T-helper cells, leading to a weakened immune system and the progression to AIDS",mechanistic,Biomedicine,4
A deficiency of vitamin D in the body can lead to weakened bones and the onset of osteoporosis.,causation,Biomedicine,5
"At the genetic level, mutations in the BRCA1 gene increase the risk of breast and ovarian cancer.",causation,Biomedicine,3
"Beta-blockers work by blocking the effects of the hormone epinephrine, thereby lowering the heart rate and blood pressure.",causation,Biomedicine,3
"While many individuals with similar lifestyles remain unaffected, this patient's combination of a high-sugar diet, sedentary behavior, and genetic predisposition made them more susceptible to developing type 2 diabetes.",contrastive,Biomedicine,4
"Unlike other patients who benefited from the chemotherapy drug, this particular patient had a unique genetic mutation that caused resistance to the medication's active components.",contrastive,Medicine,5
"While Patient A had a robust immune response leading to the production of protective antibodies, Patient B had a pre-existing condition that suppressed their immune response, rendering the vaccine less effective.",contrastive,Medicine,5
"Contrary to younger individuals who metabolize the drug efficiently, elderly patients often have reduced liver and kidney functions, leading to the drug accumulating in their system and causing side effects.",contrastive,Biomedicine,4
"Such behavior was analyzed and explained by Salmas and Androutsopoulos [58]: due to geometric restrictions, the uptake of molecules on the highly curved cylindrical surface is much less efficient than on the flat surface.",causation,Physics,3
"Because then the treatment can be performed at early stage when the cancer cells still are confined in the organ and less likely to metastasize outside of the organ and therefore, the curative rate is always very high, which is supported by numerous clinical evidences that prostate cancer at an early stage is entirely curable, but not the cancer at late stage.",mechanistic,Medicine,4
"However, the results from CDX studies often do not correlate with the results from clinical studies, partly because cancer cell lines fail to represent the true complexity and heterogeneity of tumors (reviewed in [1,2,3]).",causation,Biomedicine,4
"Specifically, mothers explained that they would not choose something that they did not like, because they would not know how to cook or prepare it, because it was unpleasant to think of preparing a disliked food, because they as mothers would have to eat that food, and finally because there are so many food options, so why choose a food that they did not like.",pragmatic,Dietology,5
A study comparing active and passive cycling found that most cortical activation during passive cycling is elicited by sensory feedback because of the moving limbs [30].,causation,Biomedicine,3
"Williams and colleagues also observed that miR206 upregulation after denervation was higher in fast-twitch fibers than in slow-twitch fibers, probably because slow-twitch fibers express higher levels of miR206 in physiological conditions [65].",causation,Biomedicine,3
"Enhancing muscle and, hence, respiratory functions should be a priority in ALS care, because it can improve the patient’s quality of life.",causation,Medicine,4
Forcing mice to run using an electric shock has likely introduces biases in the results because of the stress that is induced in the animals.,causation,Biomedicine,3
Liquid formulations are the most common in paediatrics because of their easy administration.,pragmatic,Biomedicine,4
"Broad spectrum antibiotics are used because culture data may not identify the infecting bacteria or this information may not be available at the time of operation [7,8].",pragmatic,Medicine,4
"As a result, most global regulatory agencies restrict the use of dyes such as tartrazine, because azo dyes have been linked to hypersensitivity and ADHD reactions in children.",correlation,Biomedicine,3
"One potential explanation regarding ""what drives SCC initiation or development"" may be that the accumulation of oncogenic mutations working in concert with each other more potently drives tumor formation than individual genomic aberrations.",correlation,Biomedicine,2
Multiples lines of evidence demonstrating the in vitro ability of Nrf2 inhibition to sensitize SCCs to chemotherapy make Nrf2 an attractive target for evaluation in clinical trials.6.4.,pragmatic,Biomedicine,4
"The scientific literature suggests that most commercialized drugs are not suitable to be used on the paediatric population, as they are presented in an inappropriate pharmaceutical dosage or form, or because of the excipients they contain.",causation,Biomedicine,2
"Because the sorption processes tend to be exothermic, and because the sorption performance can vary depending on temperature, constant temperature is the basic requirement during biosorption.",causation,Physics,3
"The Langmuir model is the most commonly used one in practice, because it contains two useful and easily imaginable parameters (Qmax and KL), which are easy to understand because they reflect two important characteristics of the sorption system.",pragmatic,Physics,4
"Untreated crude biosorbents usually have a lower sorption capacity for metal ions than, for example, chemically modified biosorbents, because their surface lacks suitable chemical functional groups.",contrastive,Physics,4
"For hormone-sensitive breast cancers, the use of tamoxifen is contraindicated during pregnancy because of its supposed association with fetal malformation [21].",correlation,Biomedicine,2
"The last ESMO clinical practice guidelines mention that ipilimumab (a monoclonal antibody against CTLA4) or vemurafenib (a BRAF inhibitor) should not be used during pregnancy because of the lack of safety data, proposing an alternative to interferon-alpha [17].",causation,Biomedicine,2
"The authors showed a fetal transfer rate of 16.8% and 31.4% for gefitinib and erlotinib, respectively, and therefore suggested that gefitinib may be preferrable over erlotinib for administration to pregnant women.",contrastive,Biomedicine,4
"Then, we proceeded with a preliminary study that confirmed the possible use of IA on horse hoof and led to exclusion of the use of the rear hooves, as they are more prone to being soiled with fecal material, both because of the conformation of the sole and its anatomical position.",causation,Biology,3
