text	label
Photosynthesis in plants occurs because chloroplasts within their cells capture sunlight and convert it into energy, producing glucose and releasing oxygen as a byproduct.	positive
According to a recent extensive marine biology survey, the sudden and widespread onset of coral bleaching events observed across Pacific coral reefs can be directly attributed to persistent elevated sea temperatures, exacerbated by global warming trends.	positive
Drawing upon evolutionary biology studies, the uniquely specialized structure of the owl's wing feathers, including serrated leading edges, has evolved over millennia to enable silent flight, providing these nocturnal birds with a distinct advantage in stealthily hunting their prey.	positive
Prolonged high blood pressure can lead to kidney damage because the force of the blood against the delicate vessels of the kidneys can impair their filtering capacity over time.	positive
Smoking damages the cilia in the respiratory tract, leading to decreased clearance of mucus and pathogens, thereby increasing the risk of chronic bronchitis and other respiratory diseases. 	positive
Chronic exposure to UV radiation from the sun can break down the skin's connective tissue, collagen, and elastin fibers, causing the skin to become saggy, wrinkled, and less elastic, a process known as photoaging.	positive
Excessive alcohol intake over time can cause liver inflammation and scarring, eventually leading to cirrhosis, where the liver's ability to function is compromised.	positive
Frogs undergo metamorphosis, transitioning from aquatic tadpoles with gills to terrestrial adults with lungs, allowing them to inhabit both water and land environments during different stages of their life.	positive
The binding of a ligand to a cell receptor activates an intracellular signaling cascade, leading to a specific cellular response.	positive
While individual neurons process electrical and chemical signals, neural circuits coordinate complex behaviors like walking or speaking	positive
Chronic smoking increases the risk of developing lung cancer due to the continuous exposure of lung tissues to carcinogens	positive
HIV infects T-helper cells, leading to a weakened immune system and the progression to AIDS	positive
A deficiency of vitamin D in the body can lead to weakened bones and the onset of osteoporosis.	positive
At the genetic level, mutations in the BRCA1 gene increase the risk of breast and ovarian cancer.	positive
Beta-blockers work by blocking the effects of the hormone epinephrine, thereby lowering the heart rate and blood pressure.	positive
While many individuals with similar lifestyles remain unaffected, this patient's combination of a high-sugar diet, sedentary behavior, and genetic predisposition made them more susceptible to developing type 2 diabetes.	positive
Unlike other patients who benefited from the chemotherapy drug, this particular patient had a unique genetic mutation that caused resistance to the medication's active components.	positive
While Patient A had a robust immune response leading to the production of protective antibodies, Patient B had a pre-existing condition that suppressed their immune response, rendering the vaccine less effective.	positive
Contrary to younger individuals who metabolize the drug efficiently, elderly patients often have reduced liver and kidney functions, leading to the drug accumulating in their system and causing side effects.	positive
