input	output
introductionwhile cervical cancer screening methods ( i. e., the pap test and hpv test ) effectively prevent cervical cancer, they are not readily available to women in developing and underdeveloped countries.	positive
we next investigated whether hpv status correlated with pkm2 levels in cervical cancer cell lines as in clinical samples shown in figure 1b.	negative
knockdown of pkm2 did not affect e7 expression but resulted in a significant reduction in the cell number ( figure 3d ).	positive
it should be noted that 10 % of the total cytoplasmic fraction and 40 % of the entire nuclear fraction were analyzed with western blot ( i. e., the actual difference in the amount of pkm2 in the cytoplasmic and nuclear fraction is greater than what is shown in the figure ).	positive
however, it did not increase the nuclear localization of pkm2 ( figure 6b ).	negative
these results indicate that e7 - induced upregulation of pkm2 was not due to the inactivation of prb.	negative
intervening lanes were deleted and indicated by vertical lines.	negative
results from three independent experiments are shown as mean ± s. e. m.	negative
quantification results are shown in the right panel as mean ± s. e. m ( n = 3 ).	negative
the aim of the authors was to show how to use the collected data for scientific purposes, which is also an extension of their own research presented in [ 6 ], where the shm system of the redzinski bridge and measured quantities were described, but without statistical analysis.	negative
during the test loads, several different load schemes were used and compared with the model.	negative
the calculations ended when the stiffness and cable sag values had been stabilized. table 7 shows the described calculation results for the three longest stay cables.	negative
the outer cables are a little longer, because of the deck rotation to provide the transverse slope on the road surface.	positive
although the shm system is equipped with vibration sensors, these do not give accurate results as they record the measured values every 5 min.	positive
the presented approach aims to show only the maximum possible values of vibration accelerations, which supplement the data measured by the shm system.	negative
when the calculated and measured values start to differ significantly, this will indicate a possible failure of the facility and a quick decision may prevent a catastrophe. 5.	positive
histogram interpretationfigure 17a shows these histograms for the discussed cables.	negative
they were calculated on the basis of the separated diagrams shown in figure 16 and figure 17. the fatigue surface n ( σa, σm ) is calculated and described individually for each steel, just like the wohler curves [ 18 ].	negative
figure 19 shows the idea of such a simulation scheme. using data from the relevant months in the previous years, an empirical distribution of the stress change distribution can be created ( figure 20 ).	negative
first, monthly values were calculated and summed up over the following years. from the results in table 13, it is clear that the bridge was designed correctly, and the stay cables are not exposed to fatigue damage from changes in tensioning forces.	positive
local and rapid changes in the tension force are caused by the passage of heavy vehicles or by the overlapping effects of individual moving loads.	negative
for this purpose, it is worth creating an auxiliary fem model of the tested object to verify the measured data, which has been shown in this paper.	negative
